Wavelength,AbsorptionCoeff
991.099,1.803391238
991.758,1.86684807
992.416,1.933119448
993.074,2.001360538
993.733,2.062575529
994.391,2.121418511
995.05,2.183397532
995.708,2.244901187
996.366,2.30749676
997.025,2.369099769
997.683,2.434428603
998.342,2.499087186
999,2.560319022
999.659,2.621110653
1000.32,2.683996282
1000.98,2.749668855
1001.63,2.82372431
1002.29,2.902665842
1002.95,2.989504613
1003.61,3.079420953
1004.27,3.174419015
1004.93,3.272543125
1005.59,3.369468971
1006.24,3.464585204
1006.9,3.56444902
1007.56,3.665222543
1008.22,3.7707462
1008.88,3.874603807
1009.54,3.982107863
1010.2,4.090836147
1010.86,4.19931828
1011.51,4.30706134
1012.17,4.41532219
1012.83,4.52656744
1013.49,4.637619005
1014.15,4.746295617
1014.81,4.850456234
1015.47,4.950266094
1016.13,5.040971722
1016.79,5.125815567
1017.44,5.206603756
1018.1,5.290936483
1018.76,5.364449727
1019.42,5.429323497
1020.08,5.488211086
1020.74,5.543531719
1021.4,5.596468661
1022.06,5.634270747
1022.72,5.66951658
1023.37,5.703786729
1024.03,5.735760993
1024.69,5.769718502
1025.35,5.808081549
1026.01,5.858366649
1026.67,5.915507405
1027.33,5.975285267
1027.99,6.048943
1028.65,6.12644558
1029.31,6.200215371
1029.96,6.270112854
1030.62,6.346469445
1031.28,6.426031327
1031.94,6.496752732
1032.6,6.566665794
1033.26,6.636755324
1033.92,6.710807292
1034.58,6.768174852
1035.24,6.821695888
1035.9,6.86522227
1036.56,6.906450339
1037.22,6.942902902
1037.87,6.965370742
1038.53,6.991023013
1039.19,7.00849509
1039.85,7.029641277
1040.51,7.02711168
1041.17,7.018675915
1041.83,7.004987934
1042.49,6.986444471
1043.15,6.95800199
1043.81,6.914346111
1044.47,6.878775074
1045.13,6.84325238
1045.79,6.806838356
1046.45,6.763616653
1047.11,6.713861261
1047.77,6.678051542
1048.42,6.636652745
1049.08,6.589139603
1049.74,6.526432858
1050.4,6.466404045
1051.06,6.414964891
1051.72,6.367647944
1052.38,6.323774211
1053.04,6.278877885
1053.7,6.234834249
1054.36,6.189384096
1055.02,6.137269379
1055.68,6.076747607
1056.34,6.0100232
1057,5.948564923
1057.66,5.893820074
1058.32,5.840882846
1058.98,5.791320029
1059.64,5.737419764
1060.3,5.681923754
1060.96,5.619371287
1061.62,5.567944573
1062.28,5.504768273
1062.94,5.451495828
1063.6,5.389452431
1064.26,5.349756901
1064.92,5.307436367
1065.57,5.274191115
1066.23,5.252151385
1066.89,5.228375673
1067.55,5.206691233
1068.21,5.166234745
1068.87,5.130672244
1069.53,5.083090367
1070.19,5.050867998
1070.85,5.032968387
1071.51,5.029364157
1072.17,5.025405308
1072.83,5.018479485
1073.49,5.011190404
1074.15,4.996928044
1074.81,4.959550137
1075.47,4.91380002
1076.13,4.874452374
1076.79,4.853899942
1077.45,4.848803257
1078.11,4.838343444
1078.77,4.81796275
1079.43,4.810711151
1080.09,4.81188652
1080.75,4.816231491
1081.41,4.810694542
1082.07,4.800826125
1082.73,4.82075124
1083.39,4.816006961
